"id","amikacin","capreomycin","ciprofloxacin","ethambutol","ethionamide","isoniazid","kanamycin","moxifloxacin","ofloxacin","pyrazinamide","rifampicin","streptomycin"
"SRR6045918",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512416",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512417",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512418",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512419",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1","1",NA
"ERR2513047",NA,NA,NA,"0",NA,"1",NA,NA,NA,"0","0",NA
"ERR2512421",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512422",NA,NA,NA,"0",NA,"0",NA,NA,NA,NA,"0",NA
"ERR2512423",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512424",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512425",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512426",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512427",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512390",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512429",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512430",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"SRR6046675",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512431",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512432",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512433",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
"ERR2512434",NA,NA,NA,"0",NA,"0",NA,NA,NA,"0","0",NA
